title,agency,bureau,spend
"Research and Development, TSA                                   ",Department of Homeland Security                                 ,Transportation Security Administration                          ,5 
Small and Disadvantaged Business Utilization and Outreach       ,Department of Transportation                                    ,Office of the Secretary,5 
Operation and maintenance of quarters,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,5 
Gifts and Contributions                                         ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,5 
Panama Canal Commission compensation fund,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,5 
Employees life insurance fund,Office of Personnel Management                                  ,Office of Personnel Management,5 
"U.S. Customs Refunds, Transfers and Expenses, Unclaimed and Aban",Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,5 
Salaries and Expenses                                           ,State Justice Institute                                         ,State Justice Institute                                         ,5 
Special Assistance to the President and the Official Residence O,Executive Office of the President                               ,Special Assistance to the President and the Official Residence,5 
Office of the Inspector General--NARA                           ,National Archives and Records Administration                    ,National Archives and Records Administration                    ,5 
Office of Inspector General,Office of Personnel Management                                  ,Office of Personnel Management,5 
Cooperative Threat Reduction Account                            ,Department of Defense--Military Programs                        ,Operation and Maintenance,6 
"Research and Development, NPPD                                  ",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,6 
Open World Leadership Center trust fund,Legislative Branch                                              ,Legislative Branch Boards and Commissions,6 
Inspector General                                               ,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,6 
Lower Colorado River Basin development fund,Department of the Interior                                      ,Bureau of Reclamation,6 
Salaries and Expenses                                           ,Advisory Council on Historic Preservation                       ,Advisory Council on Historic Preservation                       ,6 
Office of Inspector General                                     ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,6 
Office of the Legislative Counsel of the Senate,Legislative Branch                                              ,Senate,6 
"Congressional use of foreign currency, Senate",Legislative Branch                                              ,Senate,6 
"Congressional use of foreign currency, House of Representatives",Legislative Branch                                              ,House of Representatives,6 
Office of Science and Technology Policy                         ,Executive Office of the President                               ,Office of Science and Technology Policy,6 
National Historical Publications and Records Commission,National Archives and Records Administration                    ,National Archives and Records Administration                    ,6 
Northeast home heating oil reserve,Department of Energy                                            ,Energy Programs,7 
Grassroots source water protection program                      ,Department of Agriculture                                       ,Farm Service Agency,7 
Indian housing loan guarantee fund program account,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,7 
Miscellaneous Trust Funds                                       ,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,7 
National defense stockpile transaction fund,Department of Defense--Military Programs                        ,Revolving and Management Funds,8 
Disposal of Department of Defense real property,Department of Defense--Military Programs                        ,Operation and Maintenance,8 
Emergencies in the diplomatic and consular service,Department of State                                             ,Administration of Foreign Affairs,8 
Representation Expenses                                         ,Department of State                                             ,Administration of Foreign Affairs,8 
Utah reclamation mitigation and conservation account,Department of the Interior                                      ,Central Utah Project,8 
Natural Resource Damage Assessment Fund                         ,Department of the Interior                                      ,Department-Wide Programs                                        ,8 
"National Forests Fund, Payment to States                        ",Department of the Interior                                      ,Departmental Offices                                            ,8 
Commodity Credit Corporation export loans program account,Department of Agriculture                                       ,Farm Service Agency,8 
Office of the Chief Financial Officer                           ,Department of Agriculture                                       ,Office of Chief Financial Officer                               ,8 
Troubled Asset Relief Program Account                           ,Department of the Treasury                                      ,Departmental Offices,8 
Rural Energy for America Program                                ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,8 
Salaries and Expenses                                           ,National Capital Planning Commission                            ,National Capital Planning Commission                            ,8 
Salaries and Expenses                                           ,Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,8 
Medicaid and Chip Payment and Access Commission                 ,Legislative Branch                                              ,Legislative Branch Boards and Commissions,8 
Indian health facilities,Department of Health and Human Services                         ,Indian Health Service                                           ,8 
Salaries and expenses                                           ,Access Board                                                    ,Access Board                                                    ,8 
Presidential Transition Administrative Support                  ,Executive Office of the President                               ,Office of Administration,8 
Acquisition workforce training fund,General Services Administration                                 ,General Activities,8 
Repairs and restoration,National Archives and Records Administration                    ,National Archives and Records Administration                    ,8 
Government Publishing Office Business Operations Revolving Fund ,Legislative Branch                                              ,Government Publishing Office                                    ,8 
Vietnam Debt Repayment Fund                                     ,Vietnam Education Foundation                                    ,Vietnam Education Foundation                                    ,9 
Tribal Indian Energy Loan Guarantee Program                     ,Department of Energy                                            ,Energy Programs,9 
Watershed rehabilitation program,Department of Agriculture                                       ,Natural Resources Conservation Service,9 
Range improvements,Department of the Interior                                      ,Bureau of Land Management,9 
North American wetlands conservation fund,Department of the Interior                                      ,United States Fish and Wildlife Service,9 
South Dakota terrestrial wildlife habitat restoration trust fund,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,9 
Miscellaneous trust funds,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,9 
Working capital fund,Department of Commerce                                          ,National Institute of Standards and Technology,9 
Office of Advocacy                                              ,Small Business Administration                                   ,Small Business Administration,9 
Office of Lead Hazard Control and Healthy Homes                 ,Department of Housing and Urban Development                     ,Management and Administration,9 
Intermediary Relending Program Fund Account                     ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,9 
Indian guaranteed loan program account,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,9 
Salaries and Expenses                                           ,Commission on Civil Rights                                      ,Commission on Civil Rights                                      ,9 
Federal payment to the District of Columbia judicial retirement,District of Columbia                                            ,District of Columbia Courts                                     ,9 
Other legislative branch boards and commissions,Legislative Branch                                              ,Legislative Branch Boards and Commissions,9 
Expenses of transportation audit contracts and contract administ,General Services Administration                                 ,Supply and Technology Activities,9 
Salaries and Expenses                                           ,Election Assistance Commission                                  ,Election Assistance Commission                                  ,9 
Salaries and Expenses                                           ,Privacy and Civil Liberties Oversight Board                     ,Privacy and Civil Liberties Oversight Board                     ,10 
Broadcasting Capital Improvements                               ,Broadcasting Board of Governors                                 ,Broadcasting Board of Governors                                 ,10 
Central Utah Project completion account,Department of the Interior                                      ,Central Utah Project,10 
Stewardship contracting product sales,Department of Agriculture                                       ,Forest Service,10 
Land acquisition,Department of Agriculture                                       ,Forest Service,10 
Central Hazardous Materials Fund                                ,Department of the Interior                                      ,Department-Wide Programs                                        ,10 
Office of Budget and Program Analysis                           ,Department of Agriculture                                       ,Executive Operations,10 
Assistance to Small Shipyards                                   ,Department of Transportation                                    ,Maritime Administration,10 
Office of Civil Rights,Department of Transportation                                    ,Office of the Secretary,10 
High energy cost grants,Department of Agriculture                                       ,Rural Utilities Service,10 
Northern Border Regional Commission                             ,Northern Border Regional Commission                             ,Northern Border Regional Commission                             ,10 
Student Financial Assistance Debt Collection                    ,Department of Education                                         ,Office of Federal Student Aid                                   ,10 
Gift and trust fund accounts,Legislative Branch                                              ,Library of Congress,10 
Buildings and Facilities                                        ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,10 
Construction,Department of Justice                                           ,Legal Activities and U.S. Marshals,10 
Secretary of the Senate,Legislative Branch                                              ,Senate,10 
Joint Committee on Taxation,Legislative Branch                                              ,Joint Items,10 
"Expenses, Presidential transition",General Services Administration                                 ,General Activities,10 
National wildlife refuge fund,Department of the Interior                                      ,United States Fish and Wildlife Service,10 
"Operation and maintenance, Southeastern Power Administration",Department of Energy                                            ,Power Marketing Administration,11 
Environmental improvement and restoration fund,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,11 
Multinational species conservation fund,Department of the Interior                                      ,United States Fish and Wildlife Service,11 
Miscellaneous permanent payment accounts,Department of the Interior                                      ,Bureau of Land Management,11 
Salaries and Expenses                                           ,Chemical Safety and Hazard Investigation Board                  ,Chemical Safety and Hazard Investigation Board                  ,11 
Perishable Agricultural Commodities Act fund,Department of Agriculture                                       ,Agricultural Marketing Service,11 
"Expenses and refunds, inspection and grading of farm products",Department of Agriculture                                       ,Food Safety and Inspection Service,11 
Manufactured housing fees trust fund,Department of Housing and Urban Development                     ,Housing Programs,11 
"Salaries and expenses, Woodrow Wilson International Center for S",Smithsonian Institution                                         ,Smithsonian Institution                                         ,11 
Watershed rehabilitation program,Department of Agriculture                                       ,Natural Resources Conservation Service,12 
"American sections, international commissions",Department of State                                             ,International Commissions,12 
Permanent appropriations,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,12 
Office of the Secretary,Department of Agriculture                                       ,Office of the Secretary,12 
"Transportation planning, research, and development",Department of Transportation                                    ,Office of the Secretary,12 
Foreign service national defined contributions retirement fund,Department of State                                             ,Administration of Foreign Affairs,12 
Salaries and expenses,Executive Office of the President                               ,National Security Council and Homeland Security Council         ,12 
Federal payment for water and sewer services,District of Columbia                                            ,District of Columbia General and Special Payments               ,12 
Intrabudgetary Transactions,Securities and Exchange Commission                              ,Securities and Exchange Commission                              ,12 
Capital investment fund,Department of State                                             ,Administration of Foreign Affairs,13 
Environmental compliance and restoration,Department of Homeland Security                                 ,United States Coast Guard,13 
Limited access system administration fund,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,13 
Office of Hearings and Appeals                                  ,Department of Agriculture                                       ,Executive Operations,13 
Promote and develop fishery products and research pertaining to,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,13 
Research and Technology                                         ,Department of Transportation                                    ,Office of the Secretary,13 
High Tech Administration,Department of Labor                                             ,Employment and Training Administration,13 
Substance abuse and mental health services,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,13 
Salaries and Expenses                                           ,Occupational Safety and Health Review Commission                ,Occupational Safety and Health Review Commission                ,13 
Salaries and expenses,Department of Justice                                           ,United States Parole Commission,13 
Capitol grounds,Legislative Branch                                              ,Architect of the Capitol,13 
Operating expenses,Executive Office of the President                               ,Executive Residence at the White House,13 
National wildlife refuge fund,Department of the Interior                                      ,United States Fish and Wildlife Service,13 
United States Court of Appeals for the Armed Forces             ,Department of Defense--Military Programs                        ,Operation and Maintenance,14 
Energy Assistance Payments                                      ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,14 
Biorefinery Assistance Program Account                          ,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,14 
"Capital Repair and Restoration, JFK Center for the Performing Ar",Smithsonian Institution                                         ,Smithsonian Institution                                         ,14 
Salaries and Expenses                                           ,National Mediation Board                                        ,National Mediation Board                                        ,14 
District of Columbia judicial retirement and survivors annuity f,District of Columbia                                            ,District of Columbia Courts                                     ,14 
Executive Offices                                               ,Department of Housing and Urban Development                     ,Management and Administration,14 
Botanic Garden                                                  ,Legislative Branch                                              ,Botanic Garden,14 
Office of Inspector General                                     ,National Science Foundation                                     ,National Science Foundation,15 
Naval petroleum and oil shale reserves,Department of Energy                                            ,Energy Programs,15 
"Leases of Lands Acquired for Flood Control, Navigation, and Alli",Department of the Interior                                      ,Departmental Offices                                            ,15 
Oil Spill Research                                              ,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,15 
Pima Agriculture Cotton Trust Fund                              ,Department of Agriculture                                       ,Farm Service Agency,15 
Trade Enforcement Trust Fund                                    ,Executive Office of the President                               ,Office of the United States Trade Representative,15 
Cyber Security Initiatives                                      ,Department of Transportation                                    ,Office of the Secretary,15 
Denali Commission                                               ,Denali Commission                                               ,Denali Commission                                               ,15 
Payment to the Institute                                        ,Institute of American Indian and Alaska Native Culture and Arts ,Institute of American Indian and Alaska Native Culture and Arts ,15 
"Procurement, Construction, and Improvements, CIS                ",Department of Homeland Security                                 ,Citizenship and Immigration Services,15 
Care of the building and grounds,Judicial Branch                                                 ,Supreme Court of the United States,15 
Salaries and Expenses                                           ,Office of Navajo and Hopi Indian Relocation                     ,Office of Navajo and Hopi Indian Relocation                     ,15 
Interest on Uninvested Funds                                    ,Department of the Treasury                                      ,Fiscal Service                                                  ,15 
"Procurement, Construction, and Improvements, FEMA               ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,16 
"Postal Regulatory Commission, Salaries and Expenses             ",Postal Service                                                  ,Postal Service                                                  ,16 
Fisheries finance program account,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,16 
Railroad unemployment insurance trust fund,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,16 
"Operations and Support, USSS                                    ",Department of Homeland Security                                 ,United States Secret Service,16 
"Salaries and expenses, Community Relations Service",Department of Justice                                           ,Legal Activities and U.S. Marshals,16 
Public Safety Officer Benefits                                  ,Department of Justice                                           ,Office of Justice Programs,16 
Salaries and Expenses                                           ,Office of Government Ethics                                     ,Office of Government Ethics                                     ,16 
East-West Center,Department of State                                             ,Other,17 
Payment to the Asia Foundation,Department of State                                             ,Other,17 
Fed Fund (CRADA),Department of Health and Human Services                         ,National Institutes of Health,17 
